brandM,brandT,brandG,fitSt,fitBo,fitWi,black,lblue,none,price,id
-0.10974641,-0.432344747,0.040405552,-2.724373889,-6.832424425,-6.99176363,-0.926718469,-0.338665246,-7.536341707,-5.402940314,174
-1.085168683,0.718039301,-1.145301592,3.379927045,3.435999332,-2.459027861,-1.282439353,-0.418011172,-8.139051789,-10.36556547,177
-2.169206186,-1.800249405,-2.934127911,1.284370316,0.625680605,3.03234922,-0.096314887,-0.423250242,-1.148509975,-2.091243554,178
-3.788295147,-3.286971115,-4.970682419,-1.365842853,-0.036736749,-1.386573689,-0.217054304,0.033544023,-7.637660619,-4.121195362,183
0.087653978,0.418496374,0.232488821,-0.061414706,-0.974475701,-0.298443408,2.785402772,-1.046928892,-1.585977382,-2.480337774,184
-2.419214555,-1.720940383,-2.808248096,-4.379444158,-7.070663666,-7.890695183,0.188874276,-0.707762608,-6.601435836,-3.804971227,187
0.218872197,0.241754626,0.313404951,0.392394163,-1.290882345,-0.588681521,1.640400574,0.295805943,-6.247992434,-4.513789596,189
-0.727106261,-0.885532576,-0.921786674,-1.13550925,0.362126506,-1.206622814,0.460339438,-0.332754655,-9.201143495,-5.978954371,191
0.585119388,0.529686534,0.965932909,-1.898742883,-2.056031183,-0.44279098,0.999070072,-0.585730683,-8.107025243,-11.50621552,194
-0.786311966,0.019525634,-0.452864187,-5.161463193,-7.708350296,-9.416280524,-0.241212923,-0.772247573,-11.39872257,-10.58263244,196
-2.362384735,0.154448491,-2.53708687,-0.198720205,-1.19731884,-2.658443531,-0.016515594,0.059600144,-5.421285332,-2.726006825,197
-1.083924386,-0.999055066,-1.588283646,2.199082379,4.898990536,5.048826525,0.619263365,0.091059397,-4.742380747,-3.748728664,199
-1.582735121,-0.473476536,-1.743026991,-1.352076162,-2.385867532,-2.811517196,0.087769284,-0.78922256,-5.236170164,-4.592104758,200
-1.576190412,-0.792575125,-2.063977296,2.044523236,-0.414977041,1.004491152,0.539025687,0.361147761,-4.841574465,-5.395944843,201
-2.574745131,-2.442020701,-3.393635485,-0.828593391,-0.532839265,-3.541337686,-0.431193836,-0.956882187,-5.528951975,-4.309010894,202
-0.855048954,-1.502452695,-1.337390039,0.496080051,1.615636579,0.260658005,0.8296798,-0.563551982,-8.36424211,-7.998855929,203
-0.527821441,-0.872434347,-0.687378678,-0.578905599,-4.94621732,-5.721522814,-0.638889148,-0.608833964,-10.7126598,-10.44662643,206
-0.768288501,-0.923557103,-1.051289182,0.063703532,-0.82403864,-0.571982412,0.236989785,-0.208126917,-12.0629033,-14.86436749,208
0.070527302,-0.060521582,0.120278253,0.209416692,-0.143938651,-0.947990853,-0.453399158,0.012069034,-13.38663519,-13.19986644,211
-0.11569345,0.2221613,0.242575706,-3.603990721,-7.303701461,-7.67764937,-0.070245654,-0.270853722,-9.374065694,-4.414009544,212
-0.983451111,-0.673741439,-0.806157444,-6.326069168,-5.839642118,-7.843723493,0.060503094,0.136055276,-11.38326889,-5.770435453,213
-1.442109717,-0.220631136,-1.764948782,2.295818175,1.695893632,-0.075261665,0.762096568,-1.152361251,-4.478069723,-4.603989616,214
-0.905782594,-1.166288748,-0.971109183,-4.245326155,-7.107991974,-7.744970438,0.147462691,-0.445512053,-9.832995022,-7.273484939,218
0.01633411,-0.148231974,0.107541011,-1.057309735,-0.121868856,-1.868439923,0.284601787,-0.136655429,-6.531738171,-3.41348146,219
-1.858698535,-0.448095674,-2.1554253,-0.431531781,-1.668000494,-0.548258954,1.691127247,0.350328745,-3.093936882,-2.011212729,220
-2.416195323,-0.579871509,-3.120687045,4.500306816,4.387621705,4.864444071,1.057162984,-0.362827244,1.858541405,-2.327974435,222
-2.611914171,-1.715015533,-3.242615987,-1.380037702,-5.095739777,-3.361393802,0.445499305,0.170177384,-9.652724513,-4.133546946,223
-3.679603015,-1.384637553,-4.394932368,-0.761465508,0.710518429,0.172297805,-0.144348426,-0.071677891,-6.988274434,-2.78755852,225
-2.381936341,-1.503785553,-2.72827268,-3.959413323,-6.638817952,-7.812848055,-0.077384435,-0.85173515,-5.860088316,-5.004578913,226
-1.473291225,-0.272505449,-1.848626792,2.671294576,2.21713721,1.38055343,0.666967761,-0.223829561,-3.291562157,-4.71428204,228
-1.662932696,-1.647582479,-2.072997666,-2.55156011,-5.513404533,-6.225337577,1.242279755,-1.089919964,-5.114205494,-3.891887032,229
-1.587926622,-1.236520958,-2.061427284,0.346142358,-2.212625077,-0.261931933,0.151973645,-1.078423466,-3.830242088,-3.198646542,230
-0.613541843,-0.718117764,-0.718070319,-1.658915942,-5.101914294,-5.448963171,1.648227645,-0.646619091,-4.331559097,-5.391629087,231
-1.27472332,-1.560282344,-1.836475525,0.665156609,-0.213378105,0.447705877,0.765845304,-0.30383828,-8.012782606,-8.485859295,232
-0.721507039,-0.945274551,-0.933527161,-0.73467423,-3.603816384,-0.703612228,-0.848381994,-0.119613668,-7.08512164,-3.328170367,233
-1.548774133,-0.666483358,-1.891574265,0.806831254,-3.734232428,-3.688287925,0.351728298,-0.678143464,-2.412699869,-2.868355168,234
-3.18669482,-2.167851194,-4.200555803,1.737859376,1.167391245,2.138163001,-0.168298024,-0.376854038,-2.191833667,-2.323150533,235
-1.2639026,-1.141740826,-1.849582035,3.010190569,-2.295469661,-1.003607625,0.340110382,-0.04036574,-4.598499682,-3.551734712,238
-0.253254326,0.279182042,-0.475582573,5.383065221,0.823829828,1.04487609,-0.459216478,-0.33008822,-3.125123702,-4.942282729,239
-1.082119759,-0.66757698,-1.604691704,4.625670023,-1.443585174,-0.91949083,-0.257736823,-0.373578684,-1.848470029,-3.555697118,243
-2.7095358,-1.898196486,-3.56437227,1.047977398,0.480013826,-0.303463344,0.740515886,-0.109470842,-7.867822699,-4.955591841,244
-2.123576234,-1.81848724,-2.685784152,-1.871665849,-4.802568449,-4.575994687,1.095614215,-0.841129205,-6.579345068,-3.173983756,245
-2.680258631,-0.647553313,-2.954345144,-2.386715791,-1.360747039,-4.27582265,0.006426378,-0.749289767,-6.879859399,-5.271257939,246
-1.238184139,-2.480624035,-1.681448488,-4.295921695,-6.955683988,-7.687786624,-0.02769434,-0.507227257,-7.901542022,-5.112752743,247
-1.611500476,-1.098465694,-2.103852626,0.615335995,0.480020692,-0.85377684,1.981065739,-0.846961875,-2.676446295,-3.135093225,248
0.337024065,0.688104771,0.87180864,-3.875203833,-6.503909725,-5.476434513,0.647600161,-0.337504082,-6.665563136,-3.875909251,249
-0.523534758,1.232048875,-0.266920708,0.863552438,-1.04165569,-0.979013835,0.416604894,0.16518041,-7.911837528,-6.017232812,251
-0.308316328,-0.083429189,-0.03442974,-3.853097111,-7.541700509,-7.910541641,-0.336221966,-0.127450783,-10.17226805,-4.790408659,252
-2.671268044,-0.597666346,-3.38388134,4.516863133,4.362427601,2.377736973,-0.306562039,-0.120532341,-4.391441632,-5.251475184,255
-0.508926935,-0.748158656,-0.817408999,2.339126674,-3.164579952,-3.052569631,-1.010774151,-0.353357994,-6.824096939,-9.444977956,257
-1.526429803,0.582982443,-1.730215571,3.714289716,-0.638948671,0.866142423,-0.110300555,-0.451595728,-1.552882696,-2.545004216,259
-1.61397234,-2.072563612,-2.281966465,-0.199366211,0.559909128,-0.259112596,-0.192388473,-0.094967585,-9.372399573,-5.865558732,261
-0.224174236,1.601921126,-0.076204852,4.308629745,4.74019168,4.706437613,0.955468626,0.085024143,-4.729938884,-5.265496741,262
-1.026296993,0.273321878,-0.983642801,-0.551665235,-0.73545324,-0.479979945,-0.512171879,0.559725725,-6.863231678,-3.488823687,264
0.424402787,1.160390346,1.019423644,-2.770262675,-3.706910492,-3.944555347,0.553365804,-0.081541427,-4.643125496,-3.152070172,265
-1.442596256,0.344654274,-1.405001788,-0.680351542,-0.435269924,-1.118962291,-1.393595179,0.351865105,-9.380859374,-5.505873417,266
-0.940343655,-0.605611076,-0.810279849,-5.069545081,-7.793749079,-9.057880897,0.473005362,-0.6951663,-8.61466084,-7.258812193,267
-2.247404752,-1.859484487,-3.042940989,1.591793944,-2.139564176,-2.758168585,0.165962388,-0.415282207,-5.534425434,-4.41692795,268
-0.428786315,-0.776837094,-0.269570255,-5.065766535,-7.550543832,-8.977997317,-0.056602155,-0.83653014,-12.93114253,-13.93430824,269
-1.53701385,-1.203220234,-2.206483383,3.689291395,-1.280602733,-1.297144765,0.297578813,-0.478156337,-0.801489127,-3.481149114,272
-0.335213404,0.279993653,0.0505715,-4.163842344,-7.813999638,-8.39230196,-0.124914688,-0.414220349,-9.492508696,-4.511958257,274
-1.66428203,-0.295666421,-1.847269239,-0.358346191,-4.211448153,-3.747299609,-0.666135477,0.421035654,-8.48619553,-4.13612763,275
0.276813798,0.509000772,0.602143637,-1.179094269,-2.14900593,-4.326187636,-0.282498156,-0.34183682,-11.21696172,-12.36563185,276
